image_path,question,answer,tool_id,query,code,tool,call
000000325368.jpg,What is prohibited on the right?,No parking.,vqa_14900,What is prohibited on the right?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	prohibition_patches = image_patch.find(""prohibition sign"")
	if len(prohibition_patches) == 0:
		return ""Nothing is prohibited.""
	# Sort the prohibition signs from left to right
	prohibition_patches.sort(key=lambda patch: patch.horizontal_center)
	for i in range(len(prohibition_patches) - 1):
		if prohibition_patches[i].horizontal_center < image_patch.width / 2 < prohibition_patches[i + 1].horizontal_center:
			# If the image's center is between two prohibition signs,
			# then the prohibited thing on the right is the thing represented by the right prohibition sign
			return prohibition_patches[i + 1].simple_query(""What does this prohibition sign represent?"")
	if prohibition_patches[-1].horizontal_center < image_patch.width / 2:
		# The last prohibition sign is on the left of the image's center, so nothing is prohibited on the right
		return ""Nothing is prohibited.""
	return prohibition_patches[-1].simple_query(""What does this prohibition sign represent?"")","def identify_object_on_side(image_patch: ImagePatch, object_name: str, relative_horizontal_position: str) -> str:
    '''Identify what is represented by a specific object located on either the left or right side of an image.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the object to identify.
        relative_horizontal_position (str): The relative horizontal position of the object to the image's center. Options: [""left"", ""right""].
       
    Returns:
        str: The representation of the object if it exists, ""Nothing is represented."" otherwise.
    '''
    
    assert relative_horizontal_position in [""left"", ""right""]
    object_patches = image_patch.find(object_name)
    if len(object_patches) == 0:
        return ""Nothing is represented.""
    # Sort the objects from left to right
    object_patches.sort(key=lambda patch: patch.horizontal_center)
    for i in range(len(object_patches) - 1):
        if object_patches[i].horizontal_center < image_patch.width / 2 < object_patches[i + 1].horizontal_center:
            # If the image's center is between two objects,
            # then the representation on the right is the thing represented by the right object
            if relative_horizontal_position == ""right"":
                return object_patches[i + 1].simple_query(f""What does this {object_name} represent?"")
            elif relative_horizontal_position == ""left"":
                return object_patches[i].simple_query(f""What does this {object_name} represent?"")
    if object_patches[-1].horizontal_center < image_patch.width / 2:
        # The last object is on the left of the image's center, so nothing is represented on the right
        if relative_horizontal_position == ""right"":
            return ""Nothing is represented.""
        elif relative_horizontal_position == ""left"":
            return object_patches[-1].simple_query(f""What does this {object_name} represent?"")
    if relative_horizontal_position == ""right"":
        return object_patches[-1].simple_query(f""What does this {object_name} represent?"")
    elif relative_horizontal_position == ""left"":
        return ""Nothing is represented.""","identify_object_on_side(image_patch, ""prohibition sign"", ""right"")"
000000450786.jpg,What is the state of the businesses?,Shutters are down.,vqa_18529,What is the state of the businesses?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	business_patches = image_patch.find(""business"")
	if len(business_patches) == 0:
		return ""no businesses found""
	# Assuming the question is asking about each business individually
	state_of_businesses = [business_patch.simple_query(""What is the state of the business?"") for business_patch in business_patches]
	# This will give a list of states. If more meaningful understanding is needed, llm_query or bing_search can be used
	return "", "".join(state_of_businesses)","def check_state_of_objects(image_patch: ImagePatch, object_name: str) -> str:
    '''Check the state of all instances of a certain object in an image.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the object to check the state of.
       
    Returns:
        str: A string containing the states of all instances of the object, or ""no {object_name} found"" if no instances of the object are found.
    '''
    object_patches = image_patch.find(object_name)
    if len(object_patches) == 0:
        return f""no {object_name} found""
    state_of_objects = [object_patch.simple_query(f""What is the state of the {object_name}?"") for object_patch in object_patches]
    return "", "".join(state_of_objects)","check_state_of_objects(image_patch, ""business"")"
000000318596.jpg,What does the sign at Dunmore Court instruct pet owners to do?,Keep dogs off median.,vqa_21073,What does the sign at Dunmore Court instruct pet owners to do?,"def execute_command(image) -> str:
	image_patch = ImagePatch(image)
	sign_patches = image_patch.find(""sign at Dunmore Court"")
	if not len(sign_patches):
		return ""No sign found at Dunmore Court.""
	first_sign = sign_patches[0]
	instruction = first_sign.simple_query(""What does the sign instruct pet owners to do?"")
	return instruction","def extract_info_from_object(image: Image, object_name: str, query: str) -> str:
    '''Extract specific information from a certain object in an image.
    
    Args:
        image (Image): The image to extract information from.
        object_name (str): The name of the object to extract information from.
        query (str): The specific information to extract.
       
    Returns:
        str: The extracted information if the object is found, otherwise a message indicating that the object is not found.
    '''
    image_patch = ImagePatch(image)
    object_patches = image_patch.find(object_name)
    if not len(object_patches):
        return f""No {object_name} found.""
    first_object = object_patches[0]
    info = first_object.simple_query(query)
    return info","extract_info_from_object(image, ""sign at Dunmore Court"", ""What does the sign instruct pet owners to do?"")"
000000315195.jpg,What keeps the runners cool?,Fire hydrants.,vqa_21292,What keeps the runners cool?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	cooling_device_patches = image_patch.find(""cooling device"")
	if len(cooling_device_patches) == 0:
		return ""heat""
	cooling_device_patch = cooling_device_patches[0]
	return cooling_device_patch.simple_query(""What is this?"")","def identify_function_provider(image_patch: ImagePatch, function_provider_name: str, query: str) -> str:
    '''Identify the object that provides a certain function for a certain group of people or things.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        function_provider_name (str): The name of the object that provides the function.
        query (str): The original query to answer.
       
    Returns:
        str: The name of the object if it exists, ""none"" otherwise.
    '''
    
    function_provider_patches = image_patch.find(function_provider_name)
    if len(function_provider_patches) == 0:
        return ""none""
    function_provider_patch = function_provider_patches[0]
    return function_provider_patch.simple_query(query)","identify_function_provider(image_patch, ""cooling device"", ""What is this?"")"
000000424351.jpg,What can be seen in the festival?,"Umbrellas, saris, ascetic.",vqa_30638,What can be seen in the festival?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	festival_patches = image_patch.find(""festival"")
	if len(festival_patches) == 0:
		# If no festival is found, query the image directly with simple_query
		return image_patch.simple_query(""What can be seen in the festival?"")
	for festival_patch in festival_patches:
		return festival_patch.simple_query(""What can be seen here?"")","def identify_objects_in_location(image_patch: ImagePatch, location_name: str, query: str) -> str:
    '''Identify what can be seen in a given location or event.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        location_name (str): The name of the location or event.
        query (str): The original query to answer.
       
    Returns:
        str: The objects that can be seen in the location or event.
    '''
    
    location_patches = image_patch.find(location_name)
    if len(location_patches) == 0:
        # If no location is found, query the image directly with simple_query
        return image_patch.simple_query(query)
    for location_patch in location_patches:
        return location_patch.simple_query(""What can be seen here?"")","identify_objects_in_location(image_patch, ""festival"", ""What can be seen in the festival?"")"
000000548564.jpg,Are there any people standing or walking in the outdoor café?,"Yes, there are some people standing and walking around blue umbrellas in the outdoor cafe.",llava_2339,Are there any people standing or walking in the outdoor café?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	people_patches = image_patch.find(""people"")
	if len(people_patches) == 0:
		return ""no""
	outdoor_cafe_patches = image_patch.find(""outdoor café"")
	if len(outdoor_cafe_patches) == 0:
		return ""no""
	for outdoor_cafe_patch in outdoor_cafe_patches:
		for people_patch in people_patches:
			if people_patch.verify_property(""people"",""standing"") or people_patch.verify_property(""people"",""walking""):
				if people_patch.overlaps_with(outdoor_cafe_patch.left,outdoor_cafe_patch.lower,outdoor_cafe_patch.right,outdoor_cafe_patch.upper):
					return ""yes""
	return ""no""","def check_existence_within_object(image_patch: ImagePatch, object_name: str, object_properties: list, reference_object_names: list) -> str:
    '''Check the existence of an object with certain properties within another object.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the object to check for existence.
        object_properties (list): The properties of the object to check.
        reference_object_names (list): The names of the reference objects.
       
    Returns:
        str: ""yes"" if the object exists, ""no"" otherwise.
    '''
    
    object_patches = image_patch.find(object_name)
    if len(object_patches) == 0:
        return ""no""
    for reference_object_name in reference_object_names:
        reference_patches = image_patch.find(reference_object_name)
        if len(reference_patches) == 0:
            continue
        for reference_patch in reference_patches:
            for object_patch in object_patches:
                if any([object_patch.verify_property(object_name, property) for property in object_properties]):
                    if object_patch.overlaps_with(reference_patch.left, reference_patch.lower, reference_patch.right, reference_patch.upper):
                        return ""yes""
    return ""no""","check_existence_within_object(image_patch, ""people"", [""standing"", ""walking""], [""outdoor café""])"
000000432349.jpg,What are the women doing in the grocery store?,The two women are standing and talking while shopping in the grocery store. They appear to be discussing or deciding on products in the refrigerator or freezer section.,llava_3609,What are the women doing in the grocery store?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	women_patches = image_patch.find(""women"")
	if len(women_patches) == 0:
		# If no women are found, directly query image
		return image_patch.simple_query(""What are the women doing in the grocery store?"")
	women_patches_in_grocery = [patch for patch in women_patches if patch.exists(""grocery store"")]
	if not women_patches_in_grocery:
		return ""no women in the grocery store""
	activities = [patch.simple_query(""what is this woman doing?"") for patch in women_patches_in_grocery]
	return ', '.join(activities)","def find_activities_in_location(image_patch: ImagePatch, object_name: str, location_name: str, query: str) -> str:
    '''Find out what a certain group of objects are doing in a specific location.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the objects to check for activities.
        location_name (str): The name of the location.
        query (str): The original query to answer.
       
    Returns:
        str: A string of activities separated by commas, or ""no {object_name} in the {location_name}"" if no such objects are found in the location.
    '''
    
    object_patches = image_patch.find(object_name)
    if len(object_patches) == 0:
        # If no objects are found, directly query image
        return image_patch.simple_query(query)
    object_patches_in_location = [patch for patch in object_patches if patch.exists(location_name)]
    if not object_patches_in_location:
        return f""no {object_name} in the {location_name}""
    activities = [patch.simple_query(f""what is this {object_name} doing?"") for patch in object_patches_in_location]
    return ', '.join(activities)","find_activities_in_location(image_patch, ""women"", ""grocery store"", ""What are the women doing in the grocery store?"")"
000000501189.jpg,Where are the piers located in relation to the baseball diamond?,"The piers are located near the baseball diamond, adjacent to the body of water.",llava_22567,Where are the piers located in relation to the baseball diamond?,"def execute_command(image) -> str:
	image_patch = ImagePatch(image)
	baseball_patches = image_patch.find(""baseball diamond"")
	if len(baseball_patches) == 0:
		return image_patch.simple_query(""Where are the piers located in relation to the baseball diamond?"")
	baseball_patch = baseball_patches[0]
	piers_patches = image_patch.find(""piers"")
	if len(piers_patches) == 0:
		return ""There are no piers.""
	# Considering only the first patch of the piers
	piers_patch = piers_patches[0]
	if piers_patch.horizontal_center > baseball_patch.horizontal_center and piers_patch.vertical_center < baseball_patch.vertical_center:
		return ""top right""
	elif piers_patch.horizontal_center < baseball_patch.horizontal_center and piers_patch.vertical_center < baseball_patch.vertical_center:
		return ""top left""
	elif piers_patch.horizontal_center > baseball_patch.horizontal_center and piers_patch.vertical_center > baseball_patch.vertical_center:
		return ""bottom right""
	elif piers_patch.horizontal_center < baseball_patch.horizontal_center and piers_patch.vertical_center > baseball_patch.vertical_center:
		return ""bottom left""
	elif piers_patch.horizontal_center == baseball_patch.horizontal_center and piers_patch.vertical_center < baseball_patch.vertical_center:
		return ""above""
	elif piers_patch.horizontal_center == baseball_patch.horizontal_center and piers_patch.vertical_center > baseball_patch.vertical_center:
		return ""below""
	elif piers_patch.horizontal_center > baseball_patch.horizontal_center and piers_patch.vertical_center == baseball_patch.vertical_center:
		return ""right""
	elif piers_patch.horizontal_center < baseball_patch.horizontal_center and piers_patch.vertical_center == baseball_patch.vertical_center:
		return ""left""
	else:
		return ""at the same place""","def determine_relative_location(image_patch: ImagePatch, object_name: str, reference_object_name: str, query: str) -> str:
    '''Determine the relative location of one object to another in an image.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the object to check for location.
        reference_object_name (str): The name of the reference object.
        query (str): The original query to answer.
       
    Returns:
        str: The relative location of the object to the reference object.
    '''
    
    reference_patches = image_patch.find(reference_object_name)
    if len(reference_patches) == 0:
        return image_patch.simple_query(query)
    reference_patch = reference_patches[0]
    object_patches = image_patch.find(object_name)
    if len(object_patches) == 0:
        return f""There are no {object_name}.""
    object_patch = object_patches[0]
    if object_patch.horizontal_center > reference_patch.horizontal_center and object_patch.vertical_center < reference_patch.vertical_center:
        return ""top right""
    elif object_patch.horizontal_center < reference_patch.horizontal_center and object_patch.vertical_center < reference_patch.vertical_center:
        return ""top left""
    elif object_patch.horizontal_center > reference_patch.horizontal_center and object_patch.vertical_center > reference_patch.vertical_center:
        return ""bottom right""
    elif object_patch.horizontal_center < reference_patch.horizontal_center and object_patch.vertical_center > reference_patch.vertical_center:
        return ""bottom left""
    elif object_patch.horizontal_center == reference_patch.horizontal_center and object_patch.vertical_center < reference_patch.vertical_center:
        return ""above""
    elif object_patch.horizontal_center == reference_patch.horizontal_center and object_patch.vertical_center > reference_patch.vertical_center:
        return ""below""
    elif object_patch.horizontal_center > reference_patch.horizontal_center and object_patch.vertical_center == reference_patch.vertical_center:
        return ""right""
    elif object_patch.horizontal_center < reference_patch.horizontal_center and object_patch.vertical_center == reference_patch.vertical_center:
        return ""left""
    else:
        return ""at the same place""","determine_relative_location(image_patch, ""piers"", ""baseball diamond"", ""Where are the piers located in relation to the baseball diamond?"")"
000000508220.jpg,How are the kiwis presented in the image?,The kiwis are cut in half and displayed alongside the other fruits in the image.,llava_27294,How are the kiwis presented in the image?,"def execute_command(image)->str:
	image_patch = ImagePatch(image)
	kiwis_patches = image_patch.find(""kiwis"")
	# Question assumes one kiwi patch
	return kiwis_patches[0].simple_query(""How are the kiwis presented?"")","def describe_object_presentation(image_patch: ImagePatch, object_name: str, query: str) -> List[str]:
    '''Describe how an object is presented in an image.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the object to describe.
        query (str): The original query to answer.
       
    Returns:
        List[str]: A list of descriptions for each patch of the object.
    '''
    
    object_patches = image_patch.find(object_name)
    descriptions = []
    for object_patch in object_patches:
        descriptions.append(object_patch.simple_query(query))
    return descriptions","describe_object_presentation(image_patch, ""kiwis"", ""How are the kiwis presented?"")"
000000117555.jpg,Is the woman kneeling or standing while ironing clothes?,The woman is standing while ironing clothes.,llava_31245,Is the woman kneeling or standing while ironing clothes?,"def execute_command(image) -> str:
	image_patch = ImagePatch(image)
	woman_patches = image_patch.find(""woman"")
	# Question assumes there is only one woman
	woman_patch = woman_patches[0]
	return woman_patch.best_text_match([""kneeling"", ""standing""])","def identify_object_action(image_patch: ImagePatch, object_name: str, possible_actions: List[str]) -> str:
    '''Identify the action of an object from a list of possible actions.
    
    Args:
        image_patch (ImagePatch): The image patch to check.
        object_name (str): The name of the object to check for action.
        possible_actions (List[str]): The list of possible actions.
       
    Returns:
        str: The action of the object if it exists, ""unknown"" otherwise.
    '''
    
    object_patches = image_patch.find(object_name)
    if len(object_patches) == 0:
        return ""unknown""
    object_patch = object_patches[0]
    return object_patch.best_text_match(possible_actions)","identify_object_action(image_patch, ""woman"", [""kneeling"", ""standing""])"
