question,answer,table,level,tool_id,code,api_call,tool,tool_call
Some companies compared how many phone calls they made. How many more phone calls did Tad's Coffee Company make than Northside Cycles?,2933.0,"Company | Number of phone calls
Tad's Coffee Company | 7,202
Northside Cycles | 4,269
Critical Insight Consulting | 2,332
Reardon Corporation | 8,620
Melbourne Medical Devices | 1,293",3,3764,"import pandas as pd

def calculate_difference(df, company1, company2):
    """"""
    This function takes in a pandas DataFrame representing a table of companies and their number of phone calls, and two company names. It returns the difference in the number of phone calls between the two companies.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing company names and their number of phone calls with columns 'Company' and 'Number of phone calls'.
    company1 (str): The name of the first company.
    company2 (str): The name of the second company.
    Returns:
    int: The difference in the number of phone calls between the two companies.
    """"""
    # Filter the DataFrame for the specific companies
    company1_df = df[df['Company'] == company1]
    company2_df = df[df['Company'] == company2]
    
    # Get the number of phone calls for each company
    company1_calls = company1_df['Number of phone calls'].values[0]
    company2_calls = company2_df['Number of phone calls'].values[0]
    
    # Calculate and return the difference
    return abs(company1_calls - company2_calls)","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Company': [""Tad's Coffee Company"", 'Northside Cycles', 'Critical Insight Consulting', 'Reardon Corporation', 'Melbourne Medical Devices'],
    'Number of phone calls': [7202, 4269, 2332, 8620, 1293]
})
# Call the tool to solve the problem
difference = calculate_difference(df, ""Tad's Coffee Company"", 'Northside Cycles')
print(difference)","def calculate_absolute_difference_between_two_entities(df, entity_col, value_col, entity1, entity2):
    """"""
    This function takes in a pandas DataFrame representing a table of entities and their values, and two entity names. It returns the absolute difference in the values between the two entities.
    
    Args:
    df (pd.DataFrame): A pandas DataFrame containing entity names and their values.
    entity_col (str): The column name for the entity names.
    value_col (str): The column name for the entity values.
    entity1 (str): The name of the first entity.
    entity2 (str): The name of the second entity.
    
    Returns:
    int: The absolute difference in the values between the two entities.
    """"""
    # Filter the DataFrame for the specific entities
    entity1_df = df[df[entity_col] == entity1]
    entity2_df = df[df[entity_col] == entity2]
    
    # Get the value for each entity
    entity1_value = entity1_df[value_col].values[0]
    entity2_value = entity2_df[value_col].values[0]
    
    # Calculate and return the absolute difference
    return abs(entity1_value - entity2_value)","df = pd.DataFrame({
    'Company': [""Tad's Coffee Company"", 'Northside Cycles', 'Critical Insight Consulting', 'Reardon Corporation', 'Melbourne Medical Devices'],
    'Number of phone calls': [7202, 4269, 2332, 8620, 1293]
})
print(calculate_absolute_difference_between_two_entities(df, ""Company"", ""Number of phone calls"", ""Tad's Coffee Company"", 'Northside Cycles'))"
"Roger is cleaning his workbench and organizing his tools. He uses a frequency chart to keep track of the different types of tools he has. If 1/2 of Roger's wrenches are metric, how many metric wrenches does Roger have?",9.0,"Type | Frequency
hammer | 4
pliers | 7
screwdriver | 14
wrench | 18",5,13263,"import pandas as pd

def calculate_metric_wrenches(df):
    """"""
    This function takes in a pandas DataFrame representing a frequency chart of tools, and returns the number of metric wrenches.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing types of tools and their frequencies with columns 'Type' and 'Frequency'.
    Returns:
    int: The number of metric wrenches.
    """"""
    # Filter the DataFrame for wrenches
    wrench_df = df[df['Type'] == 'wrench']
    if not wrench_df.empty:
        # Calculate the number of metric wrenches
        metric_wrenches = wrench_df['Frequency'].values[0] // 2
        return metric_wrenches
    else:
        return 0","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Type': ['hammer', 'pliers', 'screwdriver', 'wrench'],
    'Frequency': [4, 7, 14, 18]
})
# Call the tool to solve the problem
print(calculate_metric_wrenches(df))","def calculate_items_of_type_with_ratio(data_frame, item_col, frequency_col, item_type, item_ratio):
    """"""
    This function takes in a pandas DataFrame representing a frequency chart of items, a specific item type, and a ratio, and returns the number of items of the specific type based on the given ratio.
    
    Args:
    data_frame (pd.DataFrame): A pandas DataFrame containing types of items and their frequencies.
    item_col (str): The column name for the item types.
    frequency_col (str): The column name for the item frequencies.
    item_type (str): The specific item type to filter and calculate.
    item_ratio (float): The ratio to calculate the number of items of the specific type.
    
    Returns:
    int: The number of items of the specific type based on the given ratio.
    """"""
    # Filter the DataFrame for the specific item type
    item_df = data_frame[data_frame[item_col] == item_type]
    if not item_df.empty:
        # Calculate the number of items based on the given ratio
        items = int(item_df[frequency_col].values[0] * item_ratio)
        return items
    else:
        return 0","data = {
    'Type': ['hammer', 'pliers', 'screwdriver', 'wrench'],
    'Frequency': [4, 7, 14, 18]
}

df = pd.DataFrame(data)
print(calculate_items_of_type_with_ratio(data_frame=df, item_col=""Type"", frequency_col=""Frequency"", item_type=""wrench"", item_ratio=0.5))"
"For a science fair project, Deb tracked the temperature each day. What is the lowest temperature?",10.0,"Stem | Leaf 
1 | 0, 1, 2, 2, 3, 3, 3
2 | 1, 5, 6, 8
3 | 3, 3, 4, 4, 4, 5
4 | 3",6,3081,"import pandas as pd
def find_lowest_temperature(df):
    """"""
    This function takes in a pandas dataframe of temperatures, and returns the lowest temperature.
    Args:
    df (pandas.DataFrame): A pandas DataFrame object containing the temperatures.
    The dataframe should contain ""Stem"" and ""Leaf"" columns.
    Returns:
    int: The lowest temperature.
    """"""
    # prepare a list to calculate temperature in each day
    temperatures = []
    # calculate the temperature in each day
    for i in range(len(df)):
        stem = df['Stem'][i]
        leaf = df['Leaf'][i]
        for j in range(len(leaf)):
            temperatures.append(stem * 10 + leaf[j])
    # find the lowest temperature
    lowest_temperature = min(temperatures)
    return lowest_temperature","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Stem': [1, 2, 3, 4],
    'Leaf': [[0, 1, 2, 2, 3, 3, 3], [1, 5, 6, 8], [3, 3, 4, 4, 4, 5], [3]]
})
# Call the tool to solve the problem
print(find_lowest_temperature(df))","def find_lowest_value_in_stem_leaf(data_frame, stem_col, leaf_col):
    """"""
    This function takes in a pandas DataFrame representing a stem-and-leaf plot of items, and returns the lowest value among the items.
    
    Args:
    data_frame (pd.DataFrame): A pandas DataFrame containing the stem-and-leaf plot of items with columns specified by stem_col and leaf_col.
    stem_col (str): The column name for the stem values.
    leaf_col (str): The column name for the leaf values.
    
    Returns:
    int: The lowest value among the items.
    """"""
    # Initialize the list to calculate items in each group
    items = []
    
    # Calculate the value of items in each group
    for i in range(len(data_frame)):
        stem = data_frame[stem_col][i]
        leaf = data_frame[leaf_col][i]
        for j in range(len(leaf)):
            items.append(stem * 10 + leaf[j])
    
    # Find the lowest value among the items
    lowest_value = min(items)
    
    return lowest_value","data = {
    ""Stem"": [1, 2, 3, 4],
    ""Leaf"": [[0, 1, 2, 2, 3, 3, 3], [1, 5, 6, 8], [3, 3, 4, 4, 4, 5], [3]]
}

df = pd.DataFrame(data)
print(find_lowest_value_in_stem_leaf(data_frame=df, stem_col=""Stem"", leaf_col=""Leaf""))"
Arctic Fox Ski Village has trails on the north and south sides of the mountain. The frequency chart shows the number of trails of each difficulty on the south side. There are another 21 trails on the north side of the mountain. How many ski trails are there on both sides of the mountain combined?,47.0,"Difficulty | Frequency
easy | 7
intermediate | 8
expert | 11",5,16075,"import pandas as pd

def calculate_total_trails(df, north_trails):
    """"""
    This function takes in a pandas DataFrame representing a frequency chart of trails and the number of trails on the north side, and returns the total number of trails on both sides.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing trail difficulties and their frequencies with columns 'Difficulty' and 'Frequency'.
    north_trails (int): The number of trails on the north side.
    Returns:
    int: The total number of trails on both sides.
    """"""
    # Calculate the total number of trails on the south side
    south_trails = df['Frequency'].sum()
    
    # Calculate the total number of trails on both sides
    total_trails = south_trails + north_trails
    
    return total_trails","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Difficulty': ['easy', 'intermediate', 'expert'],
    'Frequency': [7, 8, 11]
})

# Number of trails on the north side
north_trails = 21

# Call the tool to solve the problem
total_trails = calculate_total_trails(df, north_trails)

# Print the answer
print(total_trails)","def calculate_total_from_frequency_and_additional_count(df, frequency_col, additional_count):
    """"""
    This function takes in a pandas DataFrame representing a frequency table and an additional count of items, and returns the total count of items.
    
    Args:
    df (pd.DataFrame): A pandas DataFrame containing item categories and their frequencies.
    frequency_col (str): The column name for the frequencies.
    additional_count (int): The additional count of items.
    
    Returns:
    int: The total count of items.
    """"""
    # Calculate the total count from the frequency table
    frequency_total = df[frequency_col].sum()
    
    # Calculate the total count of items
    total_count = frequency_total + additional_count
    
    return total_count","df = pd.DataFrame({
    'Difficulty': ['easy', 'intermediate', 'expert'],
    'Frequency': [7, 8, 11]
})

additional_count = 21

print(calculate_total_from_frequency_and_additional_count(df, ""Frequency"", additional_count))"
"Mr. Swift, the band director, counted the number of instruments played by each member of the band. How many more girls than boys play the saxophone?",6.0,"Instrument | Boys | Girls
Saxophone | 10 | 16
Drums | 10 | 20
Clarinet | 14 | 20
Flute | 5 | 7
Trumpet | 16 | 11",5,16182,"import pandas as pd

def calculate_difference_in_instrument(df, instrument):
    """"""
    This function takes in a pandas DataFrame representing the number of instruments played by boys and girls, and returns the difference in the number of girls and boys playing the specified instrument.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing the number of instruments played by boys and girls with columns 'Instrument', 'Boys', and 'Girls'.
    instrument (str): The name of the instrument for which the difference in the number of players is to be calculated.
    Returns:
    int: The difference in the number of girls and boys playing the specified instrument.
    """"""
    # Filter the DataFrame for the specific instrument
    instrument_df = df[df['Instrument'] == instrument]
    
    if not instrument_df.empty:
        boys = instrument_df['Boys'].values[0]
        girls = instrument_df['Girls'].values[0]
        difference = girls - boys
        return difference
    else:
        return 0","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Instrument': ['Saxophone', 'Drums', 'Clarinet', 'Flute', 'Trumpet'],
    'Boys': [10, 10, 14, 5, 16],
    'Girls': [16, 20, 20, 7, 11]
})
# Call the tool to solve the problem
difference = calculate_difference_in_instrument(df, 'Saxophone')
print(difference)","def calculate_difference_between_groups_for_item(data_frame, item_col, group1_col, group2_col, target_item):
    """"""
    This function takes in a pandas DataFrame representing a table with items and two groups, and returns the difference in the number of items between the two groups for a specific item.
    
    Args:
    data_frame (pd.DataFrame): A pandas DataFrame containing items and their quantities for two groups with columns specified by item_col, group1_col, and group2_col.
    item_col (str): The column name for the item names.
    group1_col (str): The column name for the first group's quantities.
    group2_col (str): The column name for the second group's quantities.
    target_item (str): The name of the item for which the difference in quantities is to be calculated.
    
    Returns:
    int: The difference in the number of items between the two groups for the specified item.
    """"""
    # Filter the DataFrame for the specific item
    item_df = data_frame[data_frame[item_col] == target_item]
    
    if not item_df.empty:
        group1_quantity = item_df[group1_col].values[0]
        group2_quantity = item_df[group2_col].values[0]
        difference = group2_quantity - group1_quantity
        return difference
    else:
        return 0","data = {
    'Instrument': ['Saxophone', 'Drums', 'Clarinet', 'Flute', 'Trumpet'],
    'Boys': [10, 10, 14, 5, 16],
    'Girls': [16, 20, 20, 7, 11]
}

df = pd.DataFrame(data)
print(calculate_difference_between_groups_for_item(data_frame=df, item_col=""Instrument"", group1_col=""Boys"", group2_col=""Girls"", target_item=""Saxophone""))"
Wyatt recalled how many goals he had made in soccer practice each day. What is the mode of the numbers?,6.0,"Day | Number of goals
Friday | 10
Saturday | 6
Sunday | 2
Monday | 2
Tuesday | 10
Wednesday | 6
Thursday | 6",5,3147,"import pandas as pd
from collections import Counter

def calculate_mode(df):
    """"""
    This function takes in a pandas DataFrame representing a table of days and number of goals, and returns the mode of the number of goals.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing days and number of goals with columns 'Day' and 'Number of goals'.
    Returns:
    int: The mode of the number of goals.
    """"""
    # Extract the 'Number of goals' column
    goals = df['Number of goals']
    
    # Calculate the frequency of each number of goals
    freq_dict = Counter(goals)
    
    # Find the number of goals with the highest frequency
    mode = max(freq_dict.keys(), key=(lambda k: freq_dict[k]))
    
    return mode","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Day': ['Friday', 'Saturday', 'Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'],
    'Number of goals': [10, 6, 2, 2, 10, 6, 6]
})
# Call the tool to solve the problem
mode = calculate_mode(df)
print(mode)","def calculate_mode_of_column(data_frame, column_name):
    """"""
    This function takes in a pandas DataFrame and a column name, and returns the mode of the numbers in the specified column.
    
    Args:
    data_frame (pd.DataFrame): A pandas DataFrame containing the data.
    column_name (str): The name of the column for which to calculate the mode.
    
    Returns:
    int: The mode of the numbers in the specified column.
    """"""
    # Extract the specified column
    column_data = data_frame[column_name]
    
    # Calculate the frequency of each number
    freq_dict = Counter(column_data)
    
    # Find the number with the highest frequency
    mode = max(freq_dict.keys(), key=(lambda k: freq_dict[k]))
    
    return mode","df = pd.DataFrame({
    'Day': ['Friday', 'Saturday', 'Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'],
    'Number of goals': [10, 6, 2, 2, 10, 6, 6]
})
print(calculate_mode_of_column(data_frame=df, column_name='Number of goals'))"
"Andrew, a fantasy football fan, carefully studied the number of touchdowns completed by his favorite players last season. How many players scored more than 1 touchdown last season?",54.0,"Touchdowns scored | Frequency
0 | 13
1 | 1
2 | 7
3 | 0
4 | 19
5 | 12
6 | 16",7,15484,"import pandas as pd

def count_players_with_more_than_one_touchdown(df):
    """"""
    This function takes in a pandas DataFrame representing a table of touchdowns scored and their frequencies, and returns the number of players who scored more than 1 touchdown.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing the number of touchdowns scored and their frequencies with columns 'Touchdowns scored' and 'Frequency'.
    Returns:
    int: The number of players who scored more than 1 touchdown.
    """"""
    # Filter the DataFrame for players who scored more than 1 touchdown
    more_than_one_touchdown_df = df[df['Touchdowns scored'] > 1]
    
    # Calculate the total number of players who scored more than 1 touchdown
    num_players = more_than_one_touchdown_df['Frequency'].sum()
    
    return num_players","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Touchdowns scored': [0, 1, 2, 3, 4, 5, 6],
    'Frequency': [13, 1, 7, 0, 19, 12, 16]
})
# Call the tool to solve the problem
print(count_players_with_more_than_one_touchdown(df))","def count_items_with_value_above_threshold(data_frame, value_col, frequency_col, value_threshold):
    """"""
    This function takes in a pandas DataFrame representing a table of item values and their frequencies, and returns the number of items with values greater than the specified threshold.
    
    Args:
    data_frame (pd.DataFrame): A pandas DataFrame containing item values and their frequencies.
    value_col (str): The column name for the item values.
    frequency_col (str): The column name for the item frequencies.
    value_threshold (int): The threshold value for filtering items.
    
    Returns:
    int: The number of items with values greater than the threshold.
    """"""
    # Filter the DataFrame for items with values greater than the threshold
    above_threshold_df = data_frame[data_frame[value_col] > value_threshold]
    
    # Calculate the total number of items with values greater than the threshold
    num_items = above_threshold_df[frequency_col].sum()
    
    return num_items","data = {
    'Touchdowns scored': [0, 1, 2, 3, 4, 5, 6],
    'Frequency': [13, 1, 7, 0, 19, 12, 16]
}

df = pd.DataFrame(data)
print(count_items_with_value_above_threshold(data_frame=df, value_col=""Touchdowns scored"", frequency_col=""Frequency"", value_threshold=1))"
A fashion magazine poll asks how many winter hats each reader owns. How many readers have exactly 3 winter hats?,17.0,"Number of winter hats | Frequency
0 | 6
1 | 20
2 | 12
3 | 17",8,15461,"import pandas as pd

def count_readers_with_3_hats(df):
    """"""
    This function takes in a pandas DataFrame representing a frequency table of winter hats owned by readers, and returns the number of readers who own exactly 3 winter hats.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing the number of winter hats and their frequencies with columns 'Number of winter hats' and 'Frequency'.
    Returns:
    int: The number of readers who own exactly 3 winter hats.
    """"""
    # Filter the DataFrame for the row where the number of winter hats is 3
    row = df[df['Number of winter hats'] == 3]
    
    # If the row exists, return the frequency. Otherwise, return 0.
    if not row.empty:
        return row['Frequency'].values[0]
    else:
        return 0","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Number of winter hats': [0, 1, 2, 3],
    'Frequency': [6, 20, 12, 17]
})
# Call the tool to solve the problem
print(count_readers_with_3_hats(df))","def get_frequency_of_specific_value(df, value_col, frequency_col, specific_value):
    """"""
    This function takes in a pandas DataFrame representing a frequency table, a specific value, and returns the frequency of the specific value in the table.
    
    Args:
    df (pd.DataFrame): A pandas DataFrame containing values and their frequencies.
    value_col (str): The column name for the values.
    frequency_col (str): The column name for the frequencies.
    specific_value (int): The specific value to retrieve its frequency.
    
    Returns:
    int: The frequency of the specific value. If the value does not exist in the table, return 0.
    """"""
    # Filter the DataFrame for the row where the value is the specific value
    row = df[df[value_col] == specific_value]
    
    # If the row exists, return the frequency. Otherwise, return 0.
    if not row.empty:
        return row[frequency_col].values[0]
    else:
        return 0","df = pd.DataFrame({
    'Number of winter hats': [0, 1, 2, 3],
    'Frequency': [6, 20, 12, 17]
})
print(get_frequency_of_specific_value(df, 'Number of winter hats', 'Frequency', 3))"
A fashion magazine poll asks how many winter hats each reader owns. How many readers have exactly 3 winter hats?,10.0,"Number of winter hats | Frequency
0 | 2
1 | 15
2 | 6
3 | 10
4 | 7
5 | 11
6 | 3",8,10037,"import pandas as pd

def count_readers_with_3_winter_hats(df):
    """"""
    This function takes in a pandas DataFrame representing a table of the number of winter hats and their frequencies, and returns the number of readers who have exactly 3 winter hats.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing the number of winter hats and their frequencies with columns 'Number of winter hats' and 'Frequency'.
    Returns:
    int: The number of readers who have exactly 3 winter hats.
    """"""
    # Filter the DataFrame for the specific number of winter hats
    hat_df = df[df['Number of winter hats'] == 3]
    
    # Get the frequency of readers with 3 winter hats
    if not hat_df.empty:
        frequency = hat_df['Frequency'].values[0]
    else:
        frequency = 0
    
    return frequency","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Number of winter hats': [0, 1, 2, 3, 4, 5, 6],
    'Frequency': [2, 15, 6, 10, 7, 11, 3]
})
# Call the tool to solve the problem
print(count_readers_with_3_winter_hats(df))","def count_frequency_of_specific_value(df, value_col, frequency_col, specific_value):
    """"""
    This function takes in a pandas DataFrame representing a frequency table, a specific value, and returns the frequency of the specific value in the table.
    
    Args:
    df (pd.DataFrame): A pandas DataFrame containing values and their frequencies.
    value_col (str): The column name for the values.
    frequency_col (str): The column name for the frequencies.
    specific_value (int): The specific value to count the frequency of.
    
    Returns:
    int: The frequency of the specific value.
    """"""
    # Filter the DataFrame for the specific value
    value_df = df[df[value_col] == specific_value]
    
    # Get the frequency of the specific value
    if not value_df.empty:
        frequency = value_df[frequency_col].values[0]
    else:
        frequency = 0
    
    return frequency","df = pd.DataFrame({
    'Number of winter hats': [0, 1, 2, 3, 4, 5, 6],
    'Frequency': [2, 15, 6, 10, 7, 11, 3]
})
print(count_frequency_of_specific_value(df, 'Number of winter hats', 'Frequency', 3))"
"While working as a summer camp counselor, Simon monitored how many candy necklaces each child made. How many children are there in all?",15.0,"Candy necklaces made | Frequency
0 | 11
1 | 3
2 | 0
3 | 1",8,3610,"import pandas as pd

def calculate_total_children(df):
    """"""
    This function takes in a pandas DataFrame representing a frequency table of candy necklaces made by children, and returns the total number of children.
    Args:
    df (pd.DataFrame): A pandas DataFrame containing the number of candy necklaces made and the frequency with columns 'Candy necklaces made' and 'Frequency'.
    Returns:
    int: The total number of children.
    """"""
    # Multiply the number of candy necklaces made by the frequency and sum up the results to get the total number of children
    total_children = df['Frequency'].sum()
    
    return total_children","# Initialize the table into a dataframe
df = pd.DataFrame({
    'Candy necklaces made': [0, 1, 2, 3],
    'Frequency': [11, 3, 0, 1]
})
# Call the tool to solve the problem
total_children = calculate_total_children(df)
print(total_children)","def calculate_total_count_from_frequency_table(data_frame, frequency_col):
    """"""
    This function takes in a pandas DataFrame representing a frequency table and returns the total count of entities.
    
    Args:
    data_frame (pd.DataFrame): A pandas DataFrame containing the frequency table.
    frequency_col (str): The column name for the frequencies.
    
    Returns:
    int: The total count of entities.
    """"""
    # Sum up the frequencies to get the total count of entities
    total_count = data_frame[frequency_col].sum()
    
    return total_count","df = pd.DataFrame({
    'Candy necklaces made': [0, 1, 2, 3],
    'Frequency': [11, 3, 0, 1]
})
print(calculate_total_count_from_frequency_table(data_frame=df, frequency_col='Frequency'))"
